Аварийность,Адрес,Безопасность,Газоснабжение,Год постройки,Жилая,Инфраструктура,Кухня,Лифты,Метро 0,Метро 1,Метро 2,Мусоропровод,Название,Общая,Отопление,Отрицательное соседство,Парковка,Подъезды,Положительное соседство,Построен,Срок сдачи,Строительная серия,Тип дома,Тип перекрытий,Транспорт,Цена,Цена за квадрат,Экология,Этаж
,"Москва, СВАО, р-н Северный, Дмитровское ш., 122Гк1",,,,28 м²,,14 м²,Нет, ⋅  15 мин. на транспорте,,,Нет,"2-комн. квартира, 69,4 м²","69,4 м²",,,Наземная,,,,,,,,,13392600,192 977,,3 из 4
Нет,"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",,,2015,63 м²,,15 м²,1 пассажирский, ⋅  3 мин. пешком, ⋅  2 мин. пешком, ⋅  6 мин. пешком,Есть,"2-комн. апартаменты, 87 м²",87 м²,,,Открытая,,,,,,Монолитный,,,94000000,1 080 460,,2 из 5
Нет,"Москва, ЦАО, р-н Таганский, ул. Талалихина, 8",,,2009,,,,"1 пассажирский, 1 грузовой", ⋅  6 мин. пешком,,,Есть,"2-комн. квартира, 97,2 м²","97,2 м²",Центральное,,Подземная,4,,2009,,,,Железобетонные,,39000000,401 235,,6 из 18
Нет,"Москва, ЗАО, р-н Филевский парк, Барклая ул., 7К4",,,2015,22 м²,,18 м²,"1 пассажирский, 1 грузовой", ⋅  7 мин. пешком, ⋅  16 мин. пешком,,Есть,"1-комн. квартира, 52 м²",52 м²,Центральное,,Подземная,1,,2015,,,Монолитный,Железобетонные,,17160000,330 000,,6 из 10
Нет,"Москва, ЗАО, р-н Тропарево-Никулино, ул. Покрышкина, 8к1",,,2009,32 м²,,18 м²,"1 пассажирский, 1 грузовой", ⋅  14 мин. пешком,,,Есть,"1-комн. квартира, 69,2 м²","69,2 м²",Центральное,,Подземная,13,,2009,,,Монолитный,Железобетонные,,16000000,231 214,,3 из 15
Нет,"Москва, САО, р-н Хорошевский, ул. Гризодубовой, 4К4",,,2006,49 м²,,18 м²,"1 пассажирский, 1 грузовой", ⋅  5 мин. пешком, ⋅  15 мин. пешком, ⋅  10 мин. на транспорте,,"2-комн. квартира, 74 м²",74 м²,Центральное,,Подземная,7,,2005,,,Монолитный,Железобетонные,,24800000,335 135,,3 из 18
Нет,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,2011,,,,"3 пассажирских, 1 грузовой", ⋅  23 мин. пешком, ⋅  29 мин. пешком,,Есть,"2-комн. квартира, 100 м²",100 м²,Центральное,,Подземная,5,,2011,,,Монолитный,Железобетонные,,52500000,525 000,,27 из 53
Нет,"Москва, ЦАО, р-н Басманный, Большой Харитоньевский пер., 16-18",,,2001,54 м²,,15 м²,1 пассажирский, ⋅  6 мин. пешком, ⋅  9 мин. пешком, ⋅  7 мин. пешком,Есть,"2-комн. квартира, 77 м²",77 м²,Центральное,,Подземная,2,,,,,Кирпичный,Железобетонные,,42000000,545 455,,2 из 7
Нет,"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп., 106к1",,,2008,19 м²,,11 м²,"2 пассажирских, 2 грузовых", ⋅  7 мин. пешком,,,Есть,"1-комн. квартира, 40,1 м²","40,1 м²",Центральное,,,1,,,,,Панельный,Железобетонные,,9500000,236 908,,12 из 24
,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12",,,,70 м²,,,"4 пассажирских, 2 грузовых", ⋅  3 мин. пешком, ⋅  4 мин. пешком, ⋅  5 мин. пешком,Нет,"2-комн. апартаменты, 83 м²",83 м²,,,Подземная,,,,,,,,,34500000,415 663,,74 из 95
