Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Москва, ЦАО, р-н Таганский, ул. Рогожский Вал, вл12",23.0,10.0,36.2,11340972.0,313287.0,11,12,7.0,пешком,"(55.74114, 37.674112, 0.0)"
"Москва, ЦАО, р-н Тверской, 1-й Тверской-Ямской пер., 11",65.0,10.0,112.0,64300799.0,574114.0,9,12,5.0,пешком,"(55.773155, 37.597208, 0.0)"
"Московская область, Мытищи городской округ, Вешки поселок, Новые Вешки коттеджный поселок, ул. Лиственная, 3",30.0,7.0,50.4,8560000.0,169841.0,4,6,10.0,на транспорте,"(55.926494, 37.597459, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4",53.0,13.5,76.52,24635184.0,321944.0,10,18,1.0,пешком,"(55.797483, 37.495096, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Татарская ул., 3С1",20.0,8.0,40.0,15500000.0,387500.0,5,5,5.0,пешком,"(55.734841, 37.638054, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к6",,,94.06,23504510.0,249888.0,4,9,1.0,пешком,"(55.798115, 37.495617, 0.0)"
"Москва, ЦАО, р-н Хамовники, Фрунзенская наб., 38/1",,,60.0,34000000.0,566667.0,7,10,10.0,пешком,"(55.721006, 37.584326, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Гризодубовой, 4К4",49.0,18.0,74.0,24800000.0,335135.0,3,18,8.0,пешком,"(55.785711, 37.521381, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",14.2,,75.79,19979841.0,263621.0,8,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Московская область, Мытищи городской округ, Грибки деревня, ул. Адмиральская, вл6с1",56.0,20.0,93.6,7500000.0,80128.0,3,6,28.0,на транспорте,"(55.969763, 37.538925, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,63.0,44000000.0,698413.0,5,34,29.0,пешком,"(55.723257, 37.52766, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,62.0,23000000.0,370968.0,10,34,29.0,пешком,"(55.723257, 37.52766, 0.0)"
"Москва, ЮАО, р-н Нагатино-Садовники, 1-й Нагатинский проезд, 11к1",69.0,,103.1,24990000.0,242386.0,6,33,15.0,пешком,"(55.678707, 37.634631, 0.0)"
"Москва, САО, р-н Беговой, Ленинградский просп., 15С28",30.0,10.0,40.0,13800000.0,345000.0,5,8,10.0,пешком,"(55.781509, 37.570465, 0.0)"
"Москва, ЦАО, р-н Пресненский, Мантулинская ул.",,17.0,42.5,14900000.0,350588.0,10,20,15.0,пешком,"(55.756153, 37.552534, 0.0)"
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",78.0,20.0,109.0,119149382.0,1093114.0,4,5,3.0,пешком,"(55.758453, 37.625055, 0.0)"
"Москва, ЦАО, р-н Таганский, Международная ул., вл15А",,,72.3,18000000.0,248963.0,17,19,4.0,пешком,"(55.745351, 37.685674, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9к1",74.0,,93.0,49000000.0,526882.0,3,13,13.0,пешком,"(55.760915, 37.550208, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд",,,70.79,16423280.0,232000.0,2,45,7.0,пешком,"(55.756366, 37.540748, 0.0)"
"Москва, ВАО, р-н Измайлово, 7-я Парковая ул., 27",34.8,8.5,56.0,9800000.0,175000.0,3,5,12.0,пешком,"(55.802224, 37.793337, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 4/2",28.0,10.0,64.0,26000000.0,406250.0,4,10,11.0,пешком,"(55.750727, 37.562272, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 26К1",35.0,10.0,54.5,23000000.0,422018.0,8,8,7.0,пешком,"(55.743325, 37.542392, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9к3",,,93.0,47000000.0,505376.0,3,17,10.0,пешком,"(55.762151, 37.550091, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 94к1",20.0,8.0,40.0,16000000.0,400000.0,10,31,15.0,пешком,"(55.652659, 37.475513, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Профсоюзная ул., 64к2",29.4,23.4,78.0,19500000.0,250000.0,8,40,10.0,пешком,"(55.665594, 37.547594, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Лобачевского, 98к3",39.0,10.0,74.0,23000000.0,310811.0,4,24,5.0,пешком,"(55.684041, 37.48199, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9",,,93.0,47000000.0,505376.0,3,21,10.0,пешком,"(55.761558, 37.549067, 0.0)"
"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 18",,,65.0,26000000.0,400000.0,7,22,20.0,пешком,"(55.721027, 37.463898, 0.0)"
"Москва, ВАО, р-н Вешняки, Вешняковская ул., 1К2",19.0,7.0,33.0,5800000.0,175758.0,6,9,12.0,пешком,"(55.74039, 37.81955, 0.0)"
"Москва, САО, р-н Ховрино, Флотская ул., 7к1",38.0,10.0,54.0,14500000.0,268519.0,21,28,20.0,пешком,"(55.854436, 37.496129, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,67.12,27928632.0,416100.0,40,63,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,50.69,22729396.0,448400.0,46,63,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,45.4,22298210.0,491150.0,56,63,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",14.8,,59.38,14835523.0,249840.0,8,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Бабушкинский, ул. Коминтерна, 10к1",41.4,15.0,82.7,14109000.0,170605.0,6,16,20.0,пешком,"(55.861489, 37.678245, 0.0)"
"Московская область, Домодедово, мкр. Новое Домодедово, Город Счастья жилой комплекс, к3В",30.4,9.6,55.0,3620000.0,65818.0,17,17,25.0,на транспорте,"(55.390409, 37.779242, 0.0)"
"Москва, ЮЗАО, р-н Зюзино, Малая Юшуньская ул., 3",22.0,13.0,44.7,10791000.0,241409.0,27,30,5.0,пешком,"(55.65462, 37.591467, 0.0)"
"Москва, САО, р-н Сокол, ул. Алабяна, 13к1",31.2,17.4,63.7,18000000.0,282575.0,7,23,5.0,пешком,"(55.799937, 37.505903, 0.0)"
"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23С928",,,43.0,5000000.0,116279.0,2,4,10.0,пешком,"(55.702358, 37.640605, 0.0)"
"Москва, ЦАО, р-н Хамовники, пер. 1-й Тружеников, 17",,,82.8,55298687.0,667859.0,14,14,12.0,пешком,"(55.736985, 37.57333, 0.0)"
"Москва, ЦАО, р-н Тверской, ул. Охотный Ряд, 2",,,169.0,265000000.0,1568047.0,9,15,2.0,пешком,"(55.757131, 37.617114, 0.0)"
"Москва, СВАО, р-н Бутырский, Новодмитровская ул., 2к7",34.9,13.8,65.4,13627193.0,208367.0,41,47,11.0,пешком,"(55.802462, 37.591934, 0.0)"
"Москва, СВАО, р-н Бутырский, Новодмитровская ул., 2к7",,,66.0,14105512.0,213720.0,43,47,11.0,пешком,"(55.802462, 37.591934, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Большая Филевская ул., 4",19.0,7.0,29.0,9600000.0,331034.0,9,16,15.0,пешком,"(55.753686, 37.513143, 0.0)"
"Москва, СЗАО, р-н Щукино, Авиационная ул., 77к2",,,83.0,22850000.0,275301.0,19,32,9.0,пешком,"(55.809348, 37.450863, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 12",,,98.0,125000000.0,1275510.0,8,12,7.0,пешком,"(55.724059, 37.57236, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",40.0,15.0,62.0,23000000.0,370968.0,10,33,25.0,пешком,"(55.723257, 37.52766, 0.0)"
"Москва, ЦАО, р-н Пресненский, Большая Грузинская ул., 37",,,126.9,69000000.0,543735.0,11,14,12.0,пешком,"(55.768972, 37.580104, 0.0)"
