Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Москва, ЦАО, р-н Красносельский, Скорняжный пер., 1",,,56.0,20000000.0,357143.0,5,12,7.0,пешком,"(55.773727, 37.641054, 0.0)"
"Москва, ЮЗАО, р-н Ясенево, Новоясеневский просп., 13К1",18.3,6.0,33.0,7100000.0,215152.0,4,9,0.0,на транспорте,"(55.60578, 37.538332, 0.0)"
"Москва, ЮЗАО, р-н Южное Бутово, Старокрымская ул., 15к1",,,40.0,8700000.0,217500.0,22,23,0.0,на транспорте,"(55.557948, 37.557268, 0.0)"
"Москва, ВАО, р-н Измайлово, Верхняя Первомайская ул., 21",28.9,5.7,43.7,8500000.0,194508.0,2,5,0.0,на транспорте,"(55.79979, 37.784039, 0.0)"
"Москва, ЮЗАО, р-н Коньково, Миклухо-Маклая ул., 30",32.0,9.8,54.0,13300000.0,246296.0,16,17,0.0,на транспорте,"(55.640843, 37.528711, 0.0)"
"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамский проезд",26.8,11.8,53.0,7849300.0,148100.0,21,22,6.0,пешком,"(55.820668, 37.42792, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 2к3",30.0,20.0,70.0,16000000.0,228571.0,12,14,13.0,пешком,"(55.700613, 37.633634, 0.0)"
"Москва, ЮВАО, р-н Печатники, 1-я Курьяновская ул., 53А",28.0,6.0,43.0,6500000.0,151163.0,1,5,10.0,пешком,"(55.651719, 37.701673, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10с1к4/3",50.0,12.0,98.0,115000000.0,1173469.0,8,12,6.0,пешком,"(55.725164, 37.574525, 0.0)"
"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Харлампиева, 50к2",20.0,8.1,39.0,4100000.0,105128.0,8,12,20.0,на транспорте,"(55.548951, 37.312334, 0.0)"
"Московская область, Балашиха городской округ, Павлино деревня, 67",,20.0,74.0,6249999.0,84459.0,12,16,12.0,на транспорте,"(55.728778, 37.960855, 0.0)"
"Московская область, Люберцы, мкр. Люберцы 2015 2018, ул. Вертолетная, 16/1",24.0,13.0,50.0,6500000.0,130000.0,17,18,12.0,на транспорте,"(55.706152, 37.964214, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, ул. Симоновский Вал, 11/31",22.0,6.0,32.0,8950000.0,279688.0,7,9,9.0,пешком,"(55.724728, 37.664518, 0.0)"
"Москва, СВАО, р-н Лосиноостровский, Изумрудная ул., 24",,,46.2,8547000.0,185000.0,4,12,15.0,пешком,"(55.872183, 37.684712, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 95Б",37.7,19.8,78.6,23894400.0,304000.0,17,33,2.0,на транспорте,"(55.672905, 37.524318, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, ул. 1-я Машиностроения, 10",35.0,20.0,70.0,22000000.0,314286.0,19,30,5.0,пешком,"(55.714191, 37.670914, 0.0)"
"Московская область, Королев, мкр. Подлипки, ул. Лермонтова, 10к3",34.0,13.1,67.1,6500000.0,96870.0,22,22,19.0,на транспорте,"(55.913919, 37.827769, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд",,,40.42,11317600.0,280000.0,3,55,7.0,пешком,"(55.756366, 37.540748, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд",,,67.7,16383400.0,242000.0,4,55,7.0,пешком,"(55.756366, 37.540748, 0.0)"
"Московская область, Одинцовский городской округ, Немчиновка село, ул. Связистов, 7",,,58.0,6154451.0,106111.0,1,17,6.0,на транспорте,"(55.725549, 37.355615, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 32",20.0,25.0,75.6,89629092.0,1185570.0,8,13,8.0,пешком,"(55.753311, 37.580661, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 32",,,133.3,92856780.0,696600.0,9,13,8.0,пешком,"(55.753311, 37.580661, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 32",,,123.6,82762560.0,669600.0,7,13,8.0,пешком,"(55.753311, 37.580661, 0.0)"
"Москва, САО, р-н Беговой, Бумажный проезд, 2/2",,,57.0,17219400.0,302095.0,9,20,14.0,пешком,"(55.785777, 37.58579, 0.0)"
"Москва, САО, р-н Беговой, Бумажный проезд, 2/2",,,48.1,15755700.0,327561.0,3,20,14.0,пешком,"(55.785777, 37.58579, 0.0)"
"Москва, ЮВАО, р-н Люблино, ул. Судакова, 11",20.9,9.0,42.9,6750000.0,157343.0,5,12,10.0,пешком,"(55.673301, 37.747568, 0.0)"
"Москва, ЗАО, р-н Можайский, ул. Петра Алексеева, 12с1",15.2,10.7,35.55,7877478.0,221589.0,18,26,8.0,на транспорте,"(55.717006, 37.428791, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 88к2с7",,,92.0,46000000.0,500000.0,6,18,7.0,пешком,"(55.705062, 37.495518, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 88к2с7",,,52.0,28000000.0,538462.0,11,18,7.0,пешком,"(55.705062, 37.495518, 0.0)"
"Москва, НАО (Новомосковский), Десеновское поселение, ул. Футбольная, 28",26.0,7.0,40.0,5700000.0,142500.0,3,3,25.0,на транспорте,"(55.514636, 37.374542, 0.0)"
"Московская область, Видное, ул. Березовая, 18",28.0,11.5,59.5,4580000.0,76975.0,10,17,12.0,на транспорте,"(55.540389, 37.713459, 0.0)"
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С2",35.0,8.0,47.6,11300000.0,237395.0,2,7,5.0,пешком,"(55.775965, 37.672495, 0.0)"
"Москва, ЮЗАО, р-н Теплый Стан, Профсоюзная ул., 128К2",14.0,20.0,39.1,9450500.0,241701.0,13,18,3.0,пешком,"(55.630441, 37.515281, 0.0)"
"Москва, НАО (Новомосковский), Московский поселение, ул. Татьянин Парк, 12к4",35.8,14.6,68.3,11952500.0,175000.0,4,9,12.0,пешком,"(55.656219, 37.422827, 0.0)"
"Московская область, Ленинский городской округ, Молоково село, бул. Ново-Молоковский, 4",32.7,16.8,64.0,5150000.0,80469.0,6,9,15.0,на транспорте,"(55.562627, 37.847424, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",20.0,8.0,40.0,19940889.0,498522.0,55,65,5.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 16",25.5,14.8,56.6,16560000.0,292580.0,2,19,7.0,пешком,"(55.807491, 37.648169, 0.0)"
"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 16",12.8,19.6,44.4,13135000.0,295833.0,2,19,7.0,пешком,"(55.807491, 37.648169, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4",15.8,16.5,49.01,16873400.0,344285.0,9,18,5.0,пешком,"(55.797483, 37.495096, 0.0)"
"Москва, ЦАО, р-н Хамовники, Смоленская-Сенная пл., 27С1а",39.0,10.0,56.0,23000000.0,410714.0,4,7,6.0,пешком,"(55.745129, 37.582484, 0.0)"
"Москва, ЮЗАО, р-н Теплый Стан, Профсоюзная ул., 132К7",,,50.3,10500000.0,208748.0,3,16,0.0,на транспорте,"(55.631752, 37.507789, 0.0)"
"Москва, СВАО, р-н Отрадное, ул. Римского-Корсакова, 11к4",12.1,17.7,40.0,9000000.0,225000.0,16,24,0.0,на транспорте,"(55.875051, 37.599929, 0.0)"
"Москва, ВАО, р-н Перово, ш. Энтузиастов, 86Ак2",,,45.6,12500000.0,274123.0,19,23,0.0,на транспорте,"(55.764014, 37.798268, 0.0)"
"Москва, ЮЗАО, р-н Южное Бутово, ул. Поляны, 5Ак3",31.3,12.2,58.3,10400000.0,178388.0,7,33,7.0,на транспорте,"(55.555596, 37.557188, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к14/1",20.0,12.0,39.0,5420000.0,138974.0,5,16,15.0,на транспорте,"(55.566608, 37.498492, 0.0)"
"Москва, ЗАО, р-н Кунцево, Рублевское ш., 22К1",20.0,12.0,50.0,10550000.0,211000.0,15,16,15.0,пешком,"(55.743193, 37.427848, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к10/1",20.0,12.0,39.0,5500000.0,141026.0,5,16,15.0,на транспорте,"(55.557297, 37.50964, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39АС3",13.5,16.0,43.35,11950000.0,275663.0,14,19,9.0,пешком,"(55.755135, 37.526986, 0.0)"
"Московская область, Красногорск городской округ, Путилково деревня, ш. Путилковское, 4к2",18.0,11.0,41.5,5700000.0,137349.0,10,17,12.0,на транспорте,"(55.863343, 37.391871, 0.0)"
"Московская область, Мытищи, мкр. Строителей, ул. Чапаева, 16Б",33.0,5.5,43.0,3500000.0,81395.0,1,5,15.0,на транспорте,"(55.933726, 37.803676, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 1",15.5,12.0,35.76,8190000.0,229027.0,5,9,15.0,пешком,"(55.699943, 37.637183, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 2к1",28.1,7.0,50.9,10940000.0,214931.0,7,11,15.0,пешком,"(55.699933, 37.635377, 0.0)"
"Москва, ЗАО, р-н Раменки, Ломоносовский просп., 25к5",,,101.1,31700000.0,313551.0,3,19,4.0,пешком,"(55.692008, 37.530939, 0.0)"
"Московская область, Ленинский городской округ, Сапроново деревня, Купелинка микрорайон, Северный квартал, 13",33.7,12.8,64.0,7499000.0,117172.0,12,17,18.0,на транспорте,"(55.535885, 37.727544, 0.0)"
"Москва, САО, р-н Дмитровский, Дмитровское ш., 107С11а",16.5,11.9,42.5,8652242.0,203582.0,2,24,4.0,на транспорте,"(55.880071, 37.537083, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",,,45.0,26800000.0,595556.0,12,12,8.0,пешком,"(55.722142, 37.618569, 0.0)"
"Москва, ЮЗАО, р-н Теплый Стан, Профсоюзная ул., 128А",23.0,16.7,56.2,11745800.0,209000.0,3,18,3.0,пешком,"(55.630146, 37.514572, 0.0)"
"Московская область, Пушкино, мкр. Новое Пушкино, к15",17.6,9.7,36.6,3181887.0,86937.0,11,17,29.0,на транспорте,"(56.026664, 37.858186, 0.0)"
"Москва, ЮАО, р-н Даниловский, Зиларт жилой комплекс, 17",15.6,10.4,34.9,9045278.0,259177.0,2,16,15.0,пешком,"(55.697031, 37.635107, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к1",45.9,28.4,85.6,22500000.0,262850.0,13,23,2.0,пешком,"(55.754618, 37.524058, 0.0)"
"Московская область, Пушкино, мкр. Новое Пушкино, к15",26.3,10.7,56.5,4498812.0,79625.0,15,17,29.0,на транспорте,"(56.026664, 37.858186, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",44.0,14.0,60.0,24490000.0,408167.0,60,79,3.0,пешком,"(55.751138, 37.533742, 0.0)"
"Московская область, Мытищи, просп. Астрахова, 12",15.6,8.4,38.52,5133414.0,133266.0,17,20,14.0,на транспорте,"(55.926413, 37.729574, 0.0)"
"Московская область, Мытищи, просп. Астрахова, 12",28.1,8.8,55.3,6929198.0,125302.0,14,20,14.0,на транспорте,"(55.926413, 37.729574, 0.0)"
"Москва, ЗАО, р-н Можайский, Рябиновая ул., 3к2",29.0,11.2,56.57,12746333.0,225320.0,14,23,5.0,на транспорте,"(55.718816, 37.426186, 0.0)"
"Москва, ЗАО, р-н Можайский, Рябиновая ул., 3к4",31.8,12.2,63.8,13003970.0,203824.0,11,23,5.0,на транспорте,"(55.717883, 37.426573, 0.0)"
"Московская область, Ленинский городской округ, Бутово рп, Бутово Парк жилой комплекс, 8",17.8,11.3,42.0,6000000.0,142857.0,10,23,7.0,на транспорте,"(55.546358, 37.586751, 0.0)"
"Москва, САО, р-н Аэропорт, ул. Черняховского, 9К5",19.0,8.0,35.0,11480000.0,328000.0,7,14,7.0,пешком,"(55.805887, 37.534065, 0.0)"
"Москва, ЦАО, р-н Басманный, Большая Почтовая ул., 30",,,55.0,15300000.0,278182.0,8,17,7.0,пешком,"(55.77957, 37.700154, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Авиаконструктора Сухого, 2к1",44.3,,51.9,14678010.0,282813.0,8,24,9.0,пешком,"(55.786313, 37.542428, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Авиаконструктора Сухого, 2к1",116.2,,127.5,36367000.0,285231.0,10,24,9.0,пешком,"(55.786313, 37.542428, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Авиаконструктора Сухого, 2к1",69.0,,82.2,26724734.0,325118.0,10,24,9.0,пешком,"(55.786313, 37.542428, 0.0)"
"Москва, ЦАО, р-н Якиманка, ул. Шаболовка, 22",17.9,5.2,31.9,9050000.0,283699.0,1,8,4.0,пешком,"(55.721255, 37.609056, 0.0)"
"Москва, ЮАО, р-н Орехово-Борисово Южное, Каширское ш., 65к2",26.0,17.0,58.1,11700000.0,201377.0,16,20,10.0,пешком,"(55.599728, 37.724723, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10к1",,,72.0,39590000.0,549861.0,3,14,3.0,пешком,"(55.725331, 37.573717, 0.0)"
"Москва, ЦАО, р-н Якиманка, ул. Большая Якиманка, 54",27.0,8.0,40.0,14200000.0,355000.0,5,9,4.0,пешком,"(55.731384, 37.611473, 0.0)"
"Москва, ЮАО, р-н Орехово-Борисово Южное, Ореховый бул., 10К1",20.0,7.0,36.0,6700000.0,186111.0,4,9,3.0,на транспорте,"(55.608292, 37.707063, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Паршина, 10А",19.1,15.0,46.7,11700000.0,250535.0,5,20,5.0,на транспорте,"(55.78975, 37.456468, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 107к2",26.0,17.0,62.0,14957033.0,241242.0,2,22,16.0,пешком,"(55.662776, 37.515371, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 107к2",23.0,13.0,55.0,14698000.0,267236.0,3,22,16.0,пешком,"(55.662776, 37.515371, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 107к2",23.0,13.0,54.0,14744000.0,273037.0,5,22,16.0,пешком,"(55.662776, 37.515371, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 107к1",41.0,12.0,80.0,24000000.0,300000.0,11,22,29.0,пешком,"(55.663618, 37.514778, 0.0)"
"Москва, НАО (Новомосковский), Рязановское поселение, Остафьево село, ул. Троицкая, 68А",26.2,10.1,49.1,5630000.0,114664.0,7,14,10.0,на транспорте,"(55.498928, 37.512784, 0.0)"
"Москва, НАО (Новомосковский), Рязановское поселение, Остафьево село, ул. Троицкая, 68А",10.1,12.6,32.4,4350000.0,134259.0,9,14,10.0,на транспорте,"(55.498928, 37.512784, 0.0)"
"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 9",37.0,9.0,52.0,10800000.0,207692.0,12,12,10.0,на транспорте,"(55.680194, 37.701753, 0.0)"
"Московская область, Балашиха, мкр. 1 мая, 27",38.0,,49.0,5350000.0,109184.0,17,18,10.0,на транспорте,"(55.804607, 37.841765, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к1",30.5,24.6,81.29,20960000.0,257842.0,11,23,2.0,пешком,"(55.754618, 37.524058, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Паршина, 10А",37.1,15.0,71.1,17500000.0,246132.0,12,20,5.0,на транспорте,"(55.78975, 37.456468, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов",18.8,9.7,38.9,5080000.0,130591.0,23,25,20.0,на транспорте,"(55.835058, 37.278081, 0.0)"
"Московская область, Люберцы городской округ, Красково дп, Новокрасково жилой комплекс",,8.0,32.0,3400000.0,106250.0,9,13,18.0,на транспорте,"(55.663288, 37.998746, 0.0)"
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12",25.0,15.0,54.0,25000000.0,462963.0,80,97,5.0,пешком,"(55.749511, 37.537083, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к2",25.0,,48.0,11700000.0,243750.0,7,21,3.0,на транспорте,"(55.756376, 37.508975, 0.0)"
"Москва, САО, р-н Хорошевский, Хорошевское ш., 25к3",16.0,14.0,46.0,13999000.0,304326.0,4,24,3.0,пешком,"(55.776421, 37.528136, 0.0)"
"Москва, ЗАО, р-н Можайский, Рябиновая ул., 3к4",32.0,12.0,58.0,12300000.0,212069.0,15,23,15.0,на транспорте,"(55.717883, 37.426573, 0.0)"
"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 37к1",24.0,10.0,43.0,16000000.0,372093.0,10,21,1.0,пешком,"(55.755738, 37.658329, 0.0)"
"Москва, ЮАО, р-н Нагатино-Садовники, ул. Академика Миллионщикова, 35К4",32.4,9.5,55.0,12000000.0,218182.0,11,16,9.0,пешком,"(55.661806, 37.646902, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк1",69.6,25.0,109.0,18570000.0,170367.0,24,58,3.0,на транспорте,"(55.834472, 37.65805, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, ул. Николо-Хованская",14.4,14.1,48.5,7300000.0,150515.0,3,16,14.0,пешком,"(55.586303, 37.45769, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, ул. Николо-Хованская",12.0,7.2,32.0,6300000.0,196875.0,14,16,15.0,пешком,"(55.586303, 37.45769, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, ул. Николо-Хованская",13.8,14.0,40.9,7000000.0,171149.0,8,9,14.0,пешком,"(55.586303, 37.45769, 0.0)"
"Москва, ЮАО, р-н Нагорный, Черноморский бул., 4к1",30.6,9.6,51.2,13500000.0,263672.0,15,17,12.0,пешком,"(55.645776, 37.616126, 0.0)"
"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Александры Монаховой, 90к1",,,53.2,9330000.0,175376.0,3,10,0.0,на транспорте,"(55.543725, 37.483454, 0.0)"
"Москва, СВАО, р-н Свиблово, проезд Серебрякова, 2Ак6",,14.0,68.0,19000000.0,279412.0,11,21,0.0,на транспорте,"(55.847649, 37.631469, 0.0)"
"Московская область, Ленинский городской округ, Дрожжино рп, ш. Новое, 7к1",,,44.7,5000000.0,111857.0,18,19,0.0,на транспорте,"(55.528691, 37.585503, 0.0)"
"Москва, ЮВАО, р-н Люблино, Цимлянская ул., 3к1",,,49.0,9000000.0,183673.0,4,17,0.0,на транспорте,"(55.670844, 37.775433, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Серпуховский Вал, 21к4",41.0,15.0,86.0,34350000.0,399419.0,12,18,11.0,пешком,"(55.710692, 37.607448, 0.0)"
"Москва, ЦАО, р-н Тверской, Большая Бронная ул., 29",30.0,7.0,47.0,23900000.0,508511.0,6,9,1.0,пешком,"(55.764718, 37.603101, 0.0)"
"Москва, ВАО, р-н Северное Измайлово, 16-я Парковая ул., 49К1",17.8,7.6,33.2,7000000.0,210843.0,1,9,3.0,на транспорте,"(55.809226, 37.828497, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к6/2",24.0,17.0,56.2,6800000.0,120996.0,12,16,10.0,на транспорте,"(55.556339, 37.506532, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к7/2",14.6,5.7,29.3,4700000.0,160410.0,5,16,10.0,на транспорте,"(55.556986, 37.509999, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к5/5",31.0,18.0,65.0,7700000.0,118462.0,6,8,15.0,пешком,"(55.55608, 37.509334, 0.0)"
"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 37к1",26.0,10.0,50.0,16900000.0,338000.0,9,21,1.0,пешком,"(55.755738, 37.658329, 0.0)"
"Москва, ЮАО, р-н Бирюлево Восточное, Ягодная ул., 8к3",20.2,13.0,50.4,7461720.0,148050.0,11,24,15.0,на транспорте,"(55.575073, 37.674346, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 32",55.0,60.0,139.0,112590000.0,810000.0,6,13,8.0,пешком,"(55.753311, 37.580661, 0.0)"
"Москва, СВАО, р-н Останкинский, ул. Годовикова",14.2,14.4,43.04,9727040.0,226000.0,6,34,12.0,пешком,"(55.809742, 37.628918, 0.0)"
"Москва, ЮАО, р-н Донской, Духовской пер.",25.6,19.8,54.0,14744059.0,273038.0,5,11,12.0,пешком,"(55.705006, 37.615866, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 103",51.9,16.0,103.0,23000000.0,223301.0,6,23,5.0,на транспорте,"(55.665969, 37.51432, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9",25.0,13.0,45.0,21420000.0,476000.0,11,13,10.0,пешком,"(55.761558, 37.549067, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, ул. Николо-Хованская",30.1,11.4,59.9,8260000.0,137896.0,15,16,15.0,пешком,"(55.586303, 37.45769, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,57.1,33560953.0,587757.0,13,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",67.2,,67.2,32928000.0,490000.0,19,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,66.2,32201004.0,486420.0,23,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",54.2,,54.2,25265465.0,466152.0,24,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,59.04,32148470.0,544520.0,26,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Московская область, Мытищи, просп. Астрахова, 11",31.9,10.9,57.7,7530369.0,130509.0,17,20,14.0,на транспорте,"(55.928844, 37.736222, 0.0)"
"Московская область, Мытищи, просп. Астрахова, 11",13.6,14.2,38.68,5142146.0,132941.0,5,20,14.0,на транспорте,"(55.928844, 37.736222, 0.0)"
"Москва, САО, р-н Аэропорт, Планетная ул., 20",30.0,6.0,45.0,8100000.0,180000.0,1,5,14.0,пешком,"(55.802427, 37.548124, 0.0)"
"Москва, ЗАО, р-н Кунцево, Ярцевская ул., 11К3",18.5,5.7,30.2,7090000.0,234768.0,2,5,10.0,пешком,"(55.736787, 37.407007, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов, 13",24.8,18.4,62.7,7023000.0,112010.0,15,25,8.0,на транспорте,"(55.836827, 37.282348, 0.0)"
"Москва, ЗАО, р-н Можайский, Рябиновая ул., 3к3",18.0,10.0,38.0,9800000.0,257895.0,6,19,10.0,пешком,"(55.718152, 37.424713, 0.0)"
"Москва, ЦАО, р-н Таганский, Нижегородская ул., 32сБ",12.3,3.0,17.3,4630000.0,267630.0,7,7,15.0,пешком,"(55.736635, 37.689527, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58К17",17.0,11.0,35.0,7890000.0,225429.0,19,29,5.0,пешком,"(55.84356, 37.483355, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11",40.0,13.0,61.0,42117000.0,690443.0,11,11,5.0,пешком,"(55.726583, 37.572648, 0.0)"
"Московская область, Долгопрудный, мкр. Хлебниково, Новое ш., 10",30.5,6.5,56.5,6300000.0,111504.0,3,17,15.0,на транспорте,"(55.97199, 37.513071, 0.0)"
"Москва, НАО (Новомосковский), Московский поселение, Татьянин Парк микрорайон",35.8,14.6,68.3,11950000.0,174963.0,4,12,5.0,пешком,"(55.655351, 37.425926, 0.0)"
"Москва, ВАО, р-н Измайлово, Первомайская ул., 73",36.0,7.0,50.0,8400000.0,168000.0,4,5,2.0,пешком,"(55.793439, 37.797882, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к13/1",13.1,9.3,37.5,5700000.0,152000.0,7,14,15.0,пешком,"(55.565056, 37.498986, 0.0)"
"Москва, САО, р-н Войковский, Головинское ш., 10Б",12.8,18.6,42.0,10078000.0,239952.0,11,36,5.0,пешком,"(55.837181, 37.497315, 0.0)"
"Московская область, Ивантеевка, Заводская ул., 12А",38.0,13.0,78.0,4649925.0,59614.0,11,12,26.0,на транспорте,"(55.971804, 37.89596, 0.0)"
"Московская область, Ивантеевка, Задорожная ул.",17.0,17.0,46.0,2542400.0,55270.0,2,17,26.0,на транспорте,"(55.971763, 37.902509, 0.0)"
"Московская область, Ивантеевка, Задорожная ул.",18.0,15.0,48.0,2648800.0,55183.0,2,17,26.0,на транспорте,"(55.971763, 37.902509, 0.0)"
"Московская область, Ивантеевка, Задорожная ул.",35.0,13.0,74.0,4042500.0,54628.0,3,17,26.0,на транспорте,"(55.971763, 37.902509, 0.0)"
"Московская область, Ивантеевка, Задорожная ул.",32.0,15.0,64.0,3492500.0,54570.0,2,17,26.0,на транспорте,"(55.971763, 37.902509, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11",73.0,17.0,110.0,63900000.0,580909.0,3,13,5.0,пешком,"(55.726583, 37.572648, 0.0)"
"Москва, САО, р-н Войковский, Головинское ш., 10Б",30.0,17.0,64.1,13320000.0,207800.0,12,36,5.0,пешком,"(55.837181, 37.497315, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Бачурино деревня",28.6,16.3,59.9,7160000.0,119533.0,5,16,15.0,пешком,"(55.571123, 37.512263, 0.0)"
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С49",60.0,12.0,100.0,40990000.0,409900.0,5,9,5.0,пешком,"(55.775545, 37.672118, 0.0)"
"Московская область, Красногорск городской округ, Ильинское-Усово поселок, проезд Александра Невского, 4",37.2,12.7,72.6,6400000.0,88154.0,8,9,20.0,на транспорте,"(55.773424, 37.220194, 0.0)"
"Москва, ЮЗАО, р-н Северное Бутово, ул. Грина, 30",15.0,11.0,35.0,6850000.0,195714.0,13,16,5.0,пешком,"(55.568181, 37.569701, 0.0)"
"Москва, ЗАО, р-н Кунцево, Ярцевская ул., 31",24.8,14.8,65.7,18800000.0,286149.0,11,24,4.0,пешком,"(55.743461, 37.418425, 0.0)"
"Москва, ЮАО, р-н Нагатинский затон, ул. Корабельная, 11А",31.5,10.6,56.0,13800000.0,246429.0,9,18,6.0,на транспорте,"(55.683655, 37.696597, 0.0)"
"Московская область, Химки, мкр. Сходня, Железнодорожная ул., 33к3",11.2,14.0,34.8,4000990.0,114971.0,14,17,27.0,на транспорте,"(55.94695, 37.317697, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, бул. Скандинавский",19.9,11.9,40.0,5600000.0,140000.0,3,16,14.0,пешком,"(55.567774, 37.496183, 0.0)"
"Московская область, Химки, мкр. Сходня, Железнодорожная ул., 33к3",29.0,5.0,43.5,4294213.0,98718.0,7,17,27.0,на транспорте,"(55.94695, 37.317697, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, Нахимовский просп., 73",55.0,25.0,95.0,22490000.0,236737.0,15,25,8.0,пешком,"(55.682453, 37.552373, 0.0)"
